method,succ_cnt,succ_rate,avg_tok,avg_iter_patch,avg_delta_ndcg,avg_delta_mrr,avg_delta_cos
DE_seq_stop,27,0.2755102040816326,2.4074074074074074,3214.074074074074,0.06668502229495045,0.020213929360650352,-0.006465425904916266
ggpp,26,0.2653061224489796,5.0,3.3076923076923075,0.07221904094576603,0.03187737481161272,0.019186307885208892
DE_fixed_stop,25,0.25510204081632654,5.0,1200.0,0.05927247519457589,0.019641203037872146,0.008356768865974563
DE_seq,19,0.19387755102040816,2.526315789473684,831.578947368421,0.040919450969348646,0.010047553025975419,-0.007988509779073756
DE_fixed,15,0.15306122448979592,5.0,720.0,0.032676527963163386,0.011876489259021636,0.013571519632728717
random,9,0.09183673469387756,5.0,29.666666666666668,0.015173079130228596,0.006091613771664196,0.01290491344977395
none,3,0.030612244897959183,0.0,0.0,0.0,0.0,0.0
