method,succ_cnt,succ_rate,avg_tok,avg_iter_patch,avg_delta_ndcg,avg_delta_mrr,avg_delta_cos
DE_seq_stop,13,0.13131313131313133,2.6153846153846154,3578.4615384615386,0.04977637194611342,0.02848504996982143,-0.0005815137516368506
DE_fixed_stop,9,0.09090909090909091,5.0,1866.6666666666667,0.04265784157370563,0.01860605165748378,0.018944861009867482
ggpp,8,0.08080808080808081,5.0,3.5,0.035009124344816234,0.019611590742628294,0.02238531455849153
DE_seq,4,0.04040404040404041,3.0,1040.0,0.013356021534301385,0.005205621756332947,-0.0007474145503959274
DE_fixed,4,0.04040404040404041,5.0,800.0,0.019092099130558336,0.010131372168906907,0.014026365797929059
random,3,0.030303030303030304,5.0,72.66666666666667,0.012624811744489345,0.006209533015421126,0.019934405281086122
none,0,0.0,5.0,0.0,0.0,0.0,0.0
