enc,bench,method,top_k,success,token_used,iter_used,delta_mrr,delta_ndcg,delta_cos
bert-base-uncased,scifact,none,1,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,10,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,20,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,random,1,0,5,0,0.00029176240120456186,0.0,-0.03250616788864136
bert-base-uncased,scifact,random,10,0,5,0,0.00029176240120456186,0.0,-0.03250616788864136
bert-base-uncased,scifact,random,20,0,5,0,0.00029176240120456186,0.0,-0.03250616788864136
bert-base-uncased,scifact,greedy,1,0,3,0,0.005321358944037841,0.0,0.02699822187423706
bert-base-uncased,scifact,greedy,10,0,3,0,0.005321358944037841,0.0,0.02699822187423706
bert-base-uncased,scifact,greedy,20,0,3,0,0.005321358944037841,0.0,0.02699822187423706
bert-base-uncased,scifact,ggpp,1,0,5,0,0.16452533904354033,0.3562071871080222,-0.0618552565574646
bert-base-uncased,scifact,ggpp,10,1,5,0,0.16452533904354033,0.3562071871080222,-0.0618552565574646
bert-base-uncased,scifact,ggpp,20,1,5,0,0.16452533904354033,0.3562071871080222,-0.0618552565574646
bert-base-uncased,scifact,de,1,0,5,157,0.0009934686151181755,0.0,-0.053999483585357666
bert-base-uncased,scifact,de,10,0,5,157,0.0009934686151181755,0.0,-0.053999483585357666
bert-base-uncased,scifact,de,20,0,5,157,0.0009934686151181755,0.0,-0.053999483585357666
bert-base-uncased,scifact,none,1,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,10,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,20,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,random,1,0,5,0,-1.4753179310141333e-05,0.0,0.036271750926971436
bert-base-uncased,scifact,random,10,0,5,0,-1.4753179310141333e-05,0.0,0.036271750926971436
bert-base-uncased,scifact,random,20,0,5,0,-1.4753179310141333e-05,0.0,0.036271750926971436
bert-base-uncased,scifact,greedy,1,0,3,0,0.0003682411657871781,0.0,0.031001389026641846
bert-base-uncased,scifact,greedy,10,0,3,0,0.0003682411657871781,0.0,0.031001389026641846
bert-base-uncased,scifact,greedy,20,0,3,0,0.0003682411657871781,0.0,0.031001389026641846
bert-base-uncased,scifact,ggpp,1,0,5,0,0.0019692950727433485,0.0,0.14505785703659058
bert-base-uncased,scifact,ggpp,10,0,5,0,0.0019692950727433485,0.0,0.14505785703659058
bert-base-uncased,scifact,ggpp,20,0,5,0,0.0019692950727433485,0.0,0.14505785703659058
bert-base-uncased,scifact,de,1,0,5,151,0.006899014963531092,0.0,-0.17724710702896118
bert-base-uncased,scifact,de,10,0,5,151,0.006899014963531092,0.0,-0.17724710702896118
bert-base-uncased,scifact,de,20,0,5,151,0.006899014963531092,0.0,-0.17724710702896118
bert-base-uncased,scifact,none,1,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,10,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,20,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,random,1,0,5,0,-5.50901101370124e-05,0.0,-0.13424378633499146
bert-base-uncased,scifact,random,10,0,5,0,-5.50901101370124e-05,0.0,-0.13424378633499146
bert-base-uncased,scifact,random,20,0,5,0,-5.50901101370124e-05,0.0,-0.13424378633499146
bert-base-uncased,scifact,greedy,1,0,3,0,0.048932764140875135,0.227670248696953,0.026307344436645508
bert-base-uncased,scifact,greedy,10,0,3,0,0.048932764140875135,0.227670248696953,0.026307344436645508
bert-base-uncased,scifact,greedy,20,1,3,0,0.048932764140875135,0.227670248696953,0.026307344436645508
bert-base-uncased,scifact,ggpp,1,1,5,0,0.9989327641408752,1.0,-0.03996634483337402
bert-base-uncased,scifact,ggpp,10,1,5,0,0.9989327641408752,1.0,-0.03996634483337402
bert-base-uncased,scifact,ggpp,20,1,5,0,0.9989327641408752,1.0,-0.03996634483337402
bert-base-uncased,scifact,de,1,0,3,88,0.33226609747420843,0.5,0.04237651824951172
bert-base-uncased,scifact,de,10,1,3,88,0.33226609747420843,0.5,0.04237651824951172
bert-base-uncased,scifact,de,20,1,3,88,0.33226609747420843,0.5,0.04237651824951172
bert-base-uncased,scifact,none,1,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,10,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,20,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,random,1,0,5,0,0.0008333333333333318,0.0,-0.02674967050552368
bert-base-uncased,scifact,random,10,0,5,0,0.0008333333333333318,0.0,-0.02674967050552368
bert-base-uncased,scifact,random,20,0,5,0,0.0008333333333333318,0.0,-0.02674967050552368
bert-base-uncased,scifact,greedy,1,0,3,0,0.005000000000000001,0.0,-0.03897899389266968
bert-base-uncased,scifact,greedy,10,0,3,0,0.005000000000000001,0.0,-0.03897899389266968
bert-base-uncased,scifact,greedy,20,0,3,0,0.005000000000000001,0.0,-0.03897899389266968
bert-base-uncased,scifact,ggpp,1,0,5,0,0.012258064516129031,0.0,0.02202463150024414
bert-base-uncased,scifact,ggpp,10,0,5,0,0.012258064516129031,0.0,0.02202463150024414
bert-base-uncased,scifact,ggpp,20,0,5,0,0.012258064516129031,0.0,0.02202463150024414
bert-base-uncased,scifact,de,1,0,5,163,-0.001481481481481483,0.0,0.006046175956726074
bert-base-uncased,scifact,de,10,0,5,163,-0.001481481481481483,0.0,0.006046175956726074
bert-base-uncased,scifact,de,20,0,5,163,-0.001481481481481483,0.0,0.006046175956726074
bert-base-uncased,scifact,none,1,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,10,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,20,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,random,1,0,5,0,-0.008249528598365807,0.0,-0.10039365291595459
bert-base-uncased,scifact,random,10,0,5,0,-0.008249528598365807,0.0,-0.10039365291595459
bert-base-uncased,scifact,random,20,0,5,0,-0.008249528598365807,0.0,-0.10039365291595459
bert-base-uncased,scifact,greedy,1,0,3,0,0.03185035389282103,0.0,-0.09729743003845215
bert-base-uncased,scifact,greedy,10,0,3,0,0.03185035389282103,0.0,-0.09729743003845215
bert-base-uncased,scifact,greedy,20,0,3,0,0.03185035389282103,0.0,-0.09729743003845215
bert-base-uncased,scifact,ggpp,1,0,5,0,0.028372093023255815,0.0,-0.03923201560974121
bert-base-uncased,scifact,ggpp,10,0,5,0,0.028372093023255815,0.0,-0.03923201560974121
bert-base-uncased,scifact,ggpp,20,0,5,0,0.028372093023255815,0.0,-0.03923201560974121
bert-base-uncased,scifact,de,1,0,5,159,0.00622923588039867,0.0,-0.13554441928863525
bert-base-uncased,scifact,de,10,0,5,159,0.00622923588039867,0.0,-0.13554441928863525
bert-base-uncased,scifact,de,20,0,5,159,0.00622923588039867,0.0,-0.13554441928863525
bert-base-uncased,scifact,none,1,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,10,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,20,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,random,1,0,5,0,3.6045778138235444e-05,0.0,-0.05830943584442139
bert-base-uncased,scifact,random,10,0,5,0,3.6045778138235444e-05,0.0,-0.05830943584442139
bert-base-uncased,scifact,random,20,0,5,0,3.6045778138235444e-05,0.0,-0.05830943584442139
bert-base-uncased,scifact,greedy,1,0,3,0,0.0025669099756691,0.0,-0.09666764736175537
bert-base-uncased,scifact,greedy,10,0,3,0,0.0025669099756691,0.0,-0.09666764736175537
bert-base-uncased,scifact,greedy,20,0,3,0,0.0025669099756691,0.0,-0.09666764736175537
bert-base-uncased,scifact,ggpp,1,0,5,0,0.005085706968150302,0.0,0.03530377149581909
bert-base-uncased,scifact,ggpp,10,0,5,0,0.005085706968150302,0.0,0.03530377149581909
bert-base-uncased,scifact,ggpp,20,0,5,0,0.005085706968150302,0.0,0.03530377149581909
bert-base-uncased,scifact,de,1,0,5,160,0.0012982532592511892,0.0,0.001677870750427246
bert-base-uncased,scifact,de,10,0,5,160,0.0012982532592511892,0.0,0.001677870750427246
bert-base-uncased,scifact,de,20,0,5,160,0.0012982532592511892,0.0,0.001677870750427246
bert-base-uncased,scifact,none,1,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,10,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,20,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,random,1,0,5,0,2.8549241732139623e-05,0.0,-0.053159475326538086
bert-base-uncased,scifact,random,10,0,5,0,2.8549241732139623e-05,0.0,-0.053159475326538086
bert-base-uncased,scifact,random,20,0,5,0,2.8549241732139623e-05,0.0,-0.053159475326538086
bert-base-uncased,scifact,greedy,1,0,3,0,0.060124703087885985,0.24465054211822604,-0.06856465339660645
bert-base-uncased,scifact,greedy,10,0,3,0,0.060124703087885985,0.24465054211822604,-0.06856465339660645
bert-base-uncased,scifact,greedy,20,1,3,0,0.060124703087885985,0.24465054211822604,-0.06856465339660645
bert-base-uncased,scifact,ggpp,1,0,5,0,0.04762470308788599,0.227670248696953,-0.052506446838378906
bert-base-uncased,scifact,ggpp,10,0,5,0,0.04762470308788599,0.227670248696953,-0.052506446838378906
bert-base-uncased,scifact,ggpp,20,1,5,0,0.04762470308788599,0.227670248696953,-0.052506446838378906
bert-base-uncased,scifact,de,1,0,5,144,0.0004258235360652574,0.0,0.0324060320854187
bert-base-uncased,scifact,de,10,0,5,144,0.0004258235360652574,0.0,0.0324060320854187
bert-base-uncased,scifact,de,20,0,5,144,0.0004258235360652574,0.0,0.0324060320854187
bert-base-uncased,scifact,none,1,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,10,0,0,0,0.0,0.0,0.0
