top_k,method,success,token_used,iter_used,delta_mrr,delta_ndcg,delta_cos
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.02659294365455503,0.0,0.06400156021118164
20,ggpp,1,5,3,0.1416723087339201,0.3333333333333333,0.005476057529449463
20,DE_fixed,1,5,800,0.048815165876777256,0.227670248696953,-0.2586480379104614
20,DE_seq,1,2,480,0.08214849921011058,0.27023815442731974,-0.2275814414024353
20,DE_fixed_stop,1,5,200,0.048815165876777256,0.227670248696953,-0.15912532806396484
20,DE_seq_stop,1,1,280,0.10992627698788836,0.3010299956639812,-0.01717895269393921
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.00011680775703986528,0.0,-0.006146669387817383
20,ggpp,0,5,4,0.003481624758220503,0.0,0.038786470890045166
20,DE_fixed,0,5,800,0.005225478388866587,0.0,0.007573306560516357
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,2700,0.005225478388866587,0.0,0.007573306560516357
20,DE_seq_stop,0,5,10600,0.0,0.0,0.0
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.0016890380313199103,0.0,0.02362281084060669
20,ggpp,0,5,2,0.004506172839506172,0.0,0.07683777809143066
20,DE_fixed,0,5,800,0.015,0.0,-0.07265514135360718
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,3800,0.03281609195402299,0.0,0.06036210060119629
20,DE_seq_stop,1,1,500,0.07525641025641026,0.26264953503719357,0.040193796157836914
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,-1.0869666487576006e-05,0.0,0.014275848865509033
20,ggpp,0,5,2,0.0010263398724487613,0.0,-0.07139700651168823
20,DE_fixed,0,5,800,0.008457173408508207,0.0,-0.19627097249031067
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,3600,0.006812951673462796,0.0,0.022504985332489014
20,DE_seq_stop,0,5,9760,0.0,0.0,0.0
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.0011419416889095844,0.0,0.07713174819946289
20,ggpp,1,5,3,0.1416680822150501,0.3333333333333333,0.11305177211761475
20,DE_fixed,0,5,800,0.013962454509422406,0.0,-0.03252768516540527
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,2500,0.013962454509422406,0.0,-0.03252768516540527
20,DE_seq_stop,1,3,4280,0.061310939357907254,0.24465054211822604,-0.01877617835998535
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.0006356540239508745,0.0,0.04658383131027222
20,ggpp,1,5,2,0.08207862818904224,0.27023815442731974,-0.016533374786376953
20,DE_fixed,0,5,800,0.003249799360213413,0.0,0.05380934476852417
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,3200,0.003647255640022634,0.0,-0.0024565458297729492
20,DE_seq_stop,0,5,11940,0.0,0.0,0.0
20,none,0,0,0,0.0,0.0,0.0
20,random,1,5,139,0.05359091901331587,0.23540891336663824,0.03233778476715088
20,ggpp,1,5,4,0.08136869679109364,0.27023815442731974,0.05275321006774902
20,DE_fixed,0,5,800,0.027447128163642667,0.0,0.0188448429107666
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,1,5,1600,0.08894445436685122,0.27894294565112987,0.07110857963562012
