top_k,method,success,token_used,iter_used,delta_mrr,delta_ndcg,delta_cos
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.0009265925392635253,0.0,0.04336637258529663
20,ggpp,1,5,3,0.07476324970925403,0.26264953503719357,0.06381803750991821
20,DE_fixed,0,5,800,0.00847847065851753,0.0,0.09981834888458252
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,2800,0.00847847065851753,0.0,0.09981834888458252
20,DE_seq_stop,0,5,12120,0.0,0.0,0.0
20,none,0,0,0,0.0,0.0,0.0
20,random,1,5,2,0.02318840579710145,0.25,0.0018448233604431152
20,ggpp,1,5,1,0.9565217391304348,1.0,0.05193418264389038
20,DE_fixed,1,5,800,0.019021739130434784,0.24465054211822604,0.00941389799118042
20,DE_seq,1,1,160,0.012077294685990336,0.23540891336663824,-0.0031293630599975586
20,DE_fixed_stop,1,5,200,0.06763285024154589,0.3010299956639812,0.014401018619537354
20,DE_seq_stop,1,1,40,0.015345268542199489,0.23981246656813146,0.010297119617462158
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,8.22672864135576e-05,0.0,-0.08293551206588745
20,ggpp,0,5,8,0.04042443064182195,0.0,-0.05116921663284302
20,DE_fixed,0,5,800,0.01959109730848861,0.0,-0.006970882415771484
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,3300,0.02003435971983613,0.0,0.012701749801635742
20,DE_seq_stop,1,2,3540,0.07018633540372671,0.2559580248098155,-0.026327311992645264
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.0009668143645068534,0.0,0.04479789733886719
20,ggpp,0,5,2,0.000721908147615778,0.0,-0.031127214431762695
20,DE_fixed,0,5,800,0.0013348447883552248,0.0,0.08310621976852417
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,8600,0.008057533863985477,0.0,-0.03570568561553955
20,DE_seq_stop,0,5,17680,0.0,0.0,0.0
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.00042867701404286813,0.0,-0.06491237878799438
20,ggpp,0,5,3,0.012236652236652237,0.0,0.058991074562072754
20,DE_fixed,0,5,800,0.022679425837320574,0.0,0.021561622619628906
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,1,5,4100,0.04899521531100478,0.23137821315975915,-0.05220514535903931
20,DE_seq_stop,1,3,5420,0.13922077922077922,0.3333333333333333,-0.07998228073120117
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.002911230183957457,0.0,0.024528682231903076
20,ggpp,1,5,2,0.0896880896880897,0.27894294565112987,0.060562074184417725
20,DE_fixed,0,5,800,0.00188458884111058,0.0,0.13051742315292358
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,3900,0.03877899877899878,0.0,-0.04521697759628296
20,DE_seq_stop,0,5,11160,0.0,0.0,0.0
20,none,0,0,0,0.0,0.0,0.0
