method,succ_cnt,succ_rate,avg_tok,avg_iter_patch,avg_delta_ndcg,avg_delta_mrr,avg_delta_cos
ggpp,19,0.1958762886597938,5.0,3.6315789473684212,0.04825943474257368,0.017903190172311238,0.014330549952910093
DE_seq_stop,17,0.17525773195876287,2.5294117647058822,3315.294117647059,0.04349212497438048,0.014139250080627296,0.0024681724223893906
DE_fixed_stop,16,0.16494845360824742,5.0,1525.0,0.03827656639609134,0.01437965224596833,0.011430873084314066
DE_seq,11,0.1134020618556701,1.8181818181818181,472.72727272727275,0.025473517879672437,0.007731481313350795,0.0019556701797799948
DE_fixed,7,0.07216494845360824,5.0,657.1428571428571,0.014091394610095951,0.0068736930046188055,0.013161941287443782
random,5,0.05154639175257732,5.0,20.2,0.010799667868865182,0.006598945901063472,0.013749995796950786
none,2,0.020618556701030927,0.0,0.0,0.0,0.0,0.0
