method,succ_cnt,succ_rate,avg_tok,avg_iter_patch,avg_delta_ndcg,avg_delta_mrr,avg_delta_cos
ggpp,5,0.05,5.0,4.8,0.08140204408568057,0.06501905157432639,0.018280923068523386
DE_seq_stop,3,0.03,4.0,6366.666666666667,0.026131471927654585,0.02751335055986219,-0.00022922098636627198
DE_fixed_stop,3,0.03,5.0,3200.0,0.06361922086868764,0.04835894018904402,0.01460473626852033
DE_seq,1,0.01,4.0,1600.0,0.006131471927654584,0.008,4.346966743469e-06
DE_fixed,0,0.0,5.0,0.0,0.02279448751159715,0.01304136870421356,0.014399909079074838
none,0,0.0,5.0,0.0,0.0,0.0,0.0
random,0,0.0,5.0,0.0,0.012261927219449345,0.008240132549822532,0.0155400267243385
