method,succ_cnt,succ_rate,avg_tok,avg_iter_patch,avg_delta_ndcg,avg_delta_mrr,avg_delta_cos
DE_seq_stop,55,0.5729166666666666,2.327272727272727,2820.3636363636365,0.1964846179748365,0.08965493364742316,-0.008323592754701773
DE_fixed_stop,45,0.46875,5.0,1142.2222222222222,0.21217209512994561,0.11456871912782839,-0.006332405842840671
ggpp,44,0.4583333333333333,5.0,3.159090909090909,0.20283361597852737,0.11153721750253055,0.03105989408989745
DE_seq,30,0.3125,2.433333333333333,805.3333333333334,0.12766390620460488,0.07461032561128535,-0.00879863494386275
DE_fixed,23,0.23958333333333334,5.0,800.0,0.10813640579110372,0.054660552329283706,-0.02353402879089116
random,11,0.11458333333333333,5.0,45.0,0.05606226288119357,0.029766488578357068,-0.033100853053232016
none,0,0.0,5.0,0.0,0.0,0.0,0.0
