top_k,method,success,token_used,iter_used,delta_mrr,delta_ndcg,delta_cos
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.0005084151472650772,0.0,0.02384006977081299
10,ggpp,0,5,5,0.001158577687900236,0.0,0.0400390625
10,DE_fixed,0,5,800,0.0009189723320158103,0.0,0.026850461959838867
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,3900,0.001331191691603591,0.0,0.02939450740814209
10,DE_seq_stop,0,5,13980,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,-2.2145819146167887e-05,0.0,0.0018855929374694824
10,ggpp,0,5,4,6.311827216598943e-05,0.0,0.006605267524719238
10,DE_fixed,0,5,800,4.5572360363439843e-05,0.0,0.0023134350776672363
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,4900,6.902383047747247e-05,0.0,0.005649149417877197
10,DE_seq_stop,0,5,12180,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,8.419312371796836e-05,0.0,0.01671069860458374
10,ggpp,0,5,8,0.00217716514398675,0.0,0.03901565074920654
10,DE_fixed,0,5,800,0.0009382080226766876,0.0,0.04139602184295654
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,2500,0.0009382080226766876,0.0,0.04139602184295654
10,DE_seq_stop,0,5,14640,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.0005088952094138644,0.0,0.03085380792617798
10,ggpp,0,5,1,0.0005959304412757223,0.0,0.03318977355957031
10,DE_fixed,0,5,800,0.0007564925977199314,0.0,0.03554046154022217
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,3000,0.0008698923214369683,0.0,0.03909468650817871
10,DE_seq_stop,0,5,10340,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,9.844107617972063e-05,0.0,0.010471820831298828
10,ggpp,0,5,2,0.00015853199373798616,0.0,0.011271774768829346
10,DE_fixed,0,5,800,0.0005735128008756564,0.0,0.0015902519226074219
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,2400,0.0005735128008756564,0.0,0.0015902519226074219
10,DE_seq_stop,0,5,9480,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.0011200716845878138,0.0,0.01427912712097168
10,ggpp,0,5,2,0.0006891433418150976,0.0,0.006890535354614258
10,DE_fixed,0,5,800,0.0025793650793650806,0.0,0.025823593139648438
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,4300,0.003472222222222222,0.0,0.019492745399475098
10,DE_seq_stop,0,5,11600,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.00028924461959813075,0.0,0.007838547229766846
10,ggpp,0,5,7,0.004226869068666301,0.0,0.043762803077697754
10,DE_fixed,0,5,800,0.0010716783611217653,0.0,0.01649683713912964
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,5300,0.0013013371537726839,0.0,0.0021668076515197754
10,DE_seq_stop,0,5,15500,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
10,random,0,5,150,0.0012820668865654809,0.0,0.11757016181945801
10,ggpp,0,5,6,0.004209064131744544,0.0,0.11005055904388428
10,DE_fixed,0,5,800,0.0027825650988625326,0.0,0.10345959663391113
10,DE_seq,0,5,2400,0.0,0.0,0.0
10,DE_fixed_stop,0,5,5900,0.011347758770439182,0.0,-0.046907901763916016
10,DE_seq_stop,0,5,15420,0.0,0.0,0.0
10,none,0,0,0,0.0,0.0,0.0
