top_k,method,success,token_used,iter_used,delta_mrr,delta_ndcg,delta_cos
20,none,0,0,0,0.0,0.0,0.0
20,random,1,5,106,0.06766917293233082,0.2559580248098155,-0.04781532287597656
20,ggpp,0,5,2,0.007868508480503585,0.0,-0.0587306022644043
20,DE_fixed,1,5,800,0.0462406015037594,0.227670248696953,-0.01878225803375244
20,DE_seq,1,3,960,0.32957393483709274,0.5,-0.0510028600692749
20,DE_fixed_stop,1,5,400,0.0462406015037594,0.227670248696953,-0.01878225803375244
20,DE_seq_stop,1,1,260,0.08714969241285031,0.27894294565112987,-0.08165121078491211
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,3.1461737493330066e-05,0.0,0.02529972791671753
20,ggpp,0,5,5,0.00213005126442707,0.0,-0.04161590337753296
20,DE_fixed,0,5,800,8.712273216888089e-05,0.0,-0.046549201011657715
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,9800,0.0007422341452243469,0.0,-0.050386786460876465
20,DE_seq_stop,0,5,21780,0.0,0.0,0.0
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.025018772612465014,0.0,0.09187877178192139
20,ggpp,0,5,5,0.010751175909865142,0.0,0.1058453917503357
20,DE_fixed,0,5,800,0.011048662151126482,0.0,-0.012552142143249512
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,1,5,1900,0.048702983138780805,0.227670248696953,-0.0478971004486084
20,DE_seq_stop,1,3,4380,0.06536964980544747,0.25,-0.020954370498657227
20,none,0,0,0,0.0,0.0,0.0
20,random,1,5,1,0.06145833333333333,0.25,0.048483312129974365
20,ggpp,1,5,1,0.057291666666666664,0.24465054211822604,0.03817188739776611
20,DE_fixed,1,5,800,0.09479166666666668,0.2890648263178879,-0.015464723110198975
20,DE_seq,1,3,960,0.05361519607843137,0.23981246656813146,0.022910714149475098
20,DE_fixed_stop,1,5,200,0.10590277777777778,0.3010299956639812,-0.041631102561950684
20,DE_seq_stop,1,2,1660,0.0717147435897436,0.26264953503719357,0.04028838872909546
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,-2.008026080242741e-06,0.0,0.04722997546195984
20,ggpp,0,5,4,1.9485860444318735e-05,0.0,0.19946527481079102
20,DE_fixed,0,5,800,3.027190222579289e-06,0.0,0.1437041461467743
20,DE_seq,0,5,2400,0.0,0.0,0.0
20,DE_fixed_stop,0,5,4900,5.055489047788497e-06,0.0,0.1959347128868103
20,DE_seq_stop,0,5,11260,0.0,0.0,0.0
20,none,0,0,0,0.0,0.0,0.0
20,random,0,5,150,0.0047619047619047615,0.0,0.013762235641479492
20,ggpp,0,5,3,0.006155904984944798,0.0,0.031343817710876465
20,DE_fixed,0,5,800,0.004056744649079144,0.0,-0.03460359573364258
